Id,Smiles,NCS1/Ric8 score,NCS1/D2R score
DB00374,[H][C@]12C[C@@H](O)[C@H](CC[C@@H](O)CCCCC)[C@@]1([H])CC1=C(C2)C(OCC(O)=O)=CC=C1,-1.2922133839291599,-2.000920455459302
DB00376,OC(CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1,-1.5902825087767951,-3.2085736816000976
DB00377,[H][C@]12CCCC3=C1C(=CC=C3)C(=O)N(C2)[C@@H]1CN2CCC1CC2,-1.3304689370699156,-2.142948441230272
DB00378,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@@]12C,-1.306912314420508,-1.803881111549575
DB00379,CC(N)COC1=C(C)C=CC=C1C,-1.1794381595354793,-2.176713883400862
DB00380,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,-0.5345420192872156,-1.5308071222559256
DB00381,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,-1.3422494785853076,-1.867872938424715
DB00382,NC1=C2CCCCC2=NC2=CC=CC=C12,-1.0677324215473925,-1.3474395223760802
DB00383,CN1CCCN=C1COC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,-1.5848752149791605,-2.7994076996605046
DB00384,NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1,-0.8486276246745161,-1.6321356972861856
DB00385,[H][C@@]1(C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(OC)C=CC=C1C3=O)C(=O)COC(=O)CCCC)O[C@H]1C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O1,-0.9687741173026051,-1.8872459972625606
DB00387,OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1,-1.601171128986081,-3.1938731522764288
DB00388,CNC[C@H](O)C1=CC(O)=CC=C1,-1.192361579432903,-2.0209799997548057
DB00389,CCOC(=O)N1C=CN(C)C1=S,-1.3716378181014388,-2.319074816481165
DB00390,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1,-1.4562658880161985,-3.3455037863262795
DB00391,CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O,-0.6405701178623495,-1.2078736917965154
DB00392,CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12,-2.1206875039721163,-3.531390979701797
DB00393,COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C,-1.1733484108861556,-1.784713716944536
DB00394,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,-0.7613358166474526,-0.9424953744503486
DB00395,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,-1.275864806240179,-1.7943751749275547
